fold,test_year,recall,precision,f1,roc_auc,pr_auc,threshold,n_test,n_pos
1,2022,1.0,0.5526315789473685,0.711864406779661,0.9157509157509158,0.9136844938742472,0.1323433220386505,47,21
2,2023,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8478260869565217,0.8602737805738868,0.10996697098016739,47,24
3,2024,0.9565217391304348,0.5945945945945946,0.7333333333333333,0.8442028985507246,0.8030398775809101,0.10251514613628387,47,23
