fold,test_year,recall,precision,f1,roc_auc,pr_auc,threshold,n_test,n_pos
1,2022,0.7716262975778547,0.5645569620253165,0.652046783625731,0.6109090909090908,0.6062168787264902,0.43865424394607544,564,289
2,2023,0.5411392405063291,0.6333333333333333,0.5836177474402731,0.6047238668844427,0.6685815128495844,0.5098402500152588,564,316
3,2024,0.6341463414634146,0.629757785467128,0.6319444444444444,0.6609768676335552,0.6574396149559062,0.49990472197532654,564,287
